"","AF_A","AF_B","CO_A","CO_B"
"LOC100266215",2513,4626,434,372
"LOC100261008",308,556,432,317
"LOC100255930",3062,2952,2477,2265
"LOC100250769",8943,10399,10449,9270
"LOC104880115",18,27,40,32
"LOC104879985",10,9,1,1
"LOC104879296",5,5,0,0
"MIR395G",0,0,0,0
"MIR395F",0,0,0,0
"MIR395C",0,0,0,0
"MIR395B",0,0,0,0
"MIR395E",0,0,0,0
"MIR395D",0,0,0,0
"MIR395A",0,0,0,0
"MIR395K",0,0,0,0
"MIR395J",0,0,0,0
"MIR395M",0,0,0,0
"MIR395L",0,0,0,0
"MIR395I",0,2,0,0
"MIR395H",0,0,0,0
"LOC100245635",1609,2247,1022,1219
"LOC100854272",63,99,92,121
"LOC100262842",1327,1785,651,642
"LOC100267955",2160,1925,1785,1880
"LOC100257722",6,0,1,0
"LOC100262805",7,6,1,1
"LOC104879555",0,0,0,0
"LOC100264624",6,3,5,14
"LOC100259451",3,2,0,0
"LOC104879537",60,71,60,28
"LOC100249238",17,2,4,0
"LOC100244068",79,102,36,10
"LOC100257681",5279,4643,2718,2270
"LOC104879533",683,642,936,849
"LOC100261196",5,0,4,16
"LOC100252545",1774,2915,829,949
"LOC100256113",2268,2321,1627,1775
"LOC100247438",2447,2204,2026,1640
"LOC100242302",236,285,271,98
"LOC100264594",3586,4394,1267,1071
"LOC100268141",4134,3671,4275,4334
"LOC100259418",2741,2712,2619,2378
"LOC100257862",2853,3576,1139,828
"LOC100252440",2872,3132,3674,3575
"LOC100247322",441,375,507,435
"LOC100242186",26,19,6,0
"LOC100264473",24,22,16,14
"LOC100254296",1044,1521,686,855
"LOC100254183",0,1,0,1
"LOC100249075",100,71,61,34
"LOC104879512",407,555,238,231
"TRNAT-UGU",0,0,0,0
"LOC100266247",43,43,60,29
"LOC100261038",55,28,0,0
"LOC100255955",102,101,35,28
"LOC100250807",30,34,45,16
"LOC100249199",7781,8870,6786,7045
"LOC100244027",287,295,199,242
"LOC100245667",1123,915,1054,871
"LOC100267987",253,266,294,282
"LOC100262835",2,3,0,0
"LOC100266362",2926,2387,2271,2445
"LOC100257714",4,2,1,0
"LOC104877321",320,255,100,113
"LOC109123413",4,0,0,0
"LOC100261157",38,53,53,88
"LOC100256069",567,487,708,943
"LOC100250924",44,32,22,9
"LOC100245779",259,253,207,281
"LOC104879551",0,0,0,2
"LOC100268099",2081,2281,1293,1537
"LOC100261187",429,360,428,444
"LOC100262951",1681,1416,2195,2207
"LOC100256103",3018,3530,2678,2376
"LOC100250949",83,115,71,83
"LOC100257824",3788,3613,3237,3164
"LOC100245809",1241,1465,339,304
"LOC100262984",1741,1602,1347,1630
"LOC100252679",1215,1919,499,389
"LOC100247579",366,358,223,318
"LOC100252431",247,270,385,735
"LOC100242447",5988,5774,9052,10591
"LOC109122650",80,89,194,263
"TRNAR-ACG",0,0,0,0
"LOC100264440",200,310,9,17
"LOC100259265",680,1048,180,150
"LOC100264465",200,205,30,37
"LOC100254174",757,1246,230,152
"LOC100249068",1031,780,959,1049
"LOC100243914",671,936,709,834
"LOC100852957",5563,5677,1210,1554
"LOC104879549",0,2,0,0
"LOC109122656",199,186,79,69
"LOC100254142",4051,5695,1047,1293
"LOC100267978",1044,602,455,534
"LOC100246465",301,307,150,97
"LOC104879705",67,91,49,26
"LOC104879707",4,2,1,0
"LOC100250014",4,6,0,1
"LOC100246568",21547,5702,20738,23505
"LOC100255169",22,3,0,2
"LOC100260250",333,241,222,175
"LOC104879692",28,71,18,10
"LOC100243159",0,0,0,0
"LOC100253407",867,938,408,486
"LOC100241439",62,106,17,34
"LOC100246556",539,729,182,177
"LOC100251695",1762,2162,434,310
"LOC100256830",33,40,2,2
"LOC104879716",49,60,20,17
"LOC104879673",63,82,16,5
"LOC100246480",1463,2027,2027,1838
"LOC100249925",1079,1157,488,326
"LOC100256748",2347,3076,2301,1988
"LOC104879663",40,34,11,18
"LOC100251624",133,216,40,66
"LOC100255189",7058,10094,2533,2613
"LOC100265371",2403,2502,2056,2313
"LOC100244799",320,381,229,236
"LOC104879715",3,3,0,1
"LOC100253363",127,142,131,190
"LOC100248190",36,49,15,15
"LOC104879659",0,0,0,3
"LOC100258462",2,0,0,0
"LOC104879657",0,1,0,0
"LOC100267114",3033,3708,2737,3009
"LOC100248199",593,891,133,154
"LOC100249934",1059,1198,1205,1160
"LOC100263616",1852,1698,1799,2142
"LOC109122670",30,22,8,2
"LOC100263605",368,606,184,108
"LOC100241353",806,1203,6,4
"LOC100253421",609,508,813,1217
"LOC104879713",0,0,0,0
"LOC109123419",4,7,4,0
"LOC100246470",1391,1574,950,886
"LOC100263708",2147,1968,1534,1332
"LOC100243082",30601,29506,32210,33107
"LOC104879712",0,0,0,0
"LOC100255079",33728,20622,52073,73680
"LOC100260266",1880,789,701,832
"LOC100267199",85,69,109,77
"LOC100258468",1565,1090,2297,2601
"LOC100244891",1170,1042,1741,1820
"LOC100244715",2097,953,3450,4628
"LOC104879711",126,37,30,37
"LOC104879710",2971,1561,1771,3303
"LOC100852822",5286,2522,2197,2909
"LOC100854095",245,227,177,212
"LOC100852797",1838,1543,1734,2568
"LOC109122684",1736,2104,1106,1282
"LOC100854022",138,166,18,4
"LOC104879596",34,35,6,11
"LOC104879709",0,0,0,0
"LOC100853983",72,79,190,248
"LOC100853947",608,552,437,404
"LOC100853911",11,12,1,0
"LOC100852765",3108,3615,15319,20047
"LOC100853867",11,8,5,4
"LOC100852726",6295,8914,563,787
"LOC100852697",604,614,513,448
"LOC100852632",771,1151,775,703
"LOC100852592",95,123,0,0
"LOC100852555",1138,1217,831,1004
"LOC100244793",5,2,2,2
"LOC100249930",0,0,0,0
"LOC100260168",1,2,0,0
"LOC104879708",0,0,0,0
