"","A1_A","A1_B","AF_A","AF_B"
"LOC100259658",1325.37305216543,1003.67165100574,802.934380411149,1211.48121082961
"LOC100254540",26056.6333914735,18741.5607392302,14151.7184547465,15897.8052181692
"LOC100264785",736.987742643503,656.401259757756,550.010050581637,599.216472962118
"LOC104879249",1083.39206309583,781.860216133473,681.490555373962,565.090241671143
"LOC100249437",3092.53712171933,2957.82035551392,3266.93926029786,2981.02667453516
"LOC100244275",29.1180443278768,109.400209959626,81.2971060166288,91.3378543376092
"LOC100254485",239.972848081467,205.752688456177,73.2677622125173,136.5049251639
"LOC100266613",2990.12193132473,3634.29504829179,2843.39137463098,3037.23458489676
"LOC100249379",3053.37837245081,3256.91450751363,5277.28621525227,3818.12305384907
"LOC100244213",1427.78824256003,2032.43509328663,1925.03517703573,2045.56645208844
"LOC100261408",1077.36764013144,2115.73984032011,2968.84987157022,2041.55160134832
"LOC100256313",1659.72852668898,1784.52819548821,1457.32590044623,1569.80663938484
"LOC109122693",13.0529164228413,12.0440598120689,11.0403477306533,25.0928171257168
"HT5",148.602433121578,966.53579991853,506.852327634538,904.345129210834
"LOC100256257",6912.02128114151,5634.61264874624,5890.52734829129,6127.66594210005
"LOC100246016",2110.55617852404,2238.18778174281,2308.43634368205,2710.02424957742
"LOC100251097",346.404320452327,397.453973798274,398.456186279032,464.718973168276
"LOC100240928",5081.60077046153,4895.91031360601,3967.49950720659,5141.01637271686
"LOC100263185",3916.87899734646,2642.66745709812,4041.77093739462,5054.6970818044
"LOC100258046",371.506082803945,314.149226764797,367.3424790381,436.615017987473
"LOC100245961",30.1221148219415,24.0881196241378,13.0476836816812,30.1113805508602
"LOC100263125",281.139738338121,371.358510872125,545.995378679581,679.513487764412
"LOC100254587",3.01221148219415,22.0807763221263,36.1320471185017,52.193059621491
"LOC100244323",28.1139738338121,43.1578809932469,74.2714301880312,41.1522200861756
"LOC109122557",17.0691983991002,20.0734330201149,14.0513516571951,31.1150932358889
"LOC100266656",13.0529164228413,28.1028062281608,13.0476836816812,13.0482649053727
"LOC100256366",35.1424672922651,59.2166274093388,52.1907347267247,56.2079103616057
"LOC109122587",1.00407049406472,8.02937320804594,15.055019632709,16.0594029604588
"LOC100251211",90.3663444658246,77.2827171274422,87.3191138697124,109.404682668125
"LOC100252916",724.938896714726,1238.53081734109,3733.64486891184,1072.96886029565
"LOC100246068",655.65803262426,572.092841073273,462.690936711924,576.131081206458
"LOC100247799",305.237430195674,438.604511489509,283.03436909493,473.752387333534
"LOC109122678",43.1750312447828,12.0440598120689,7.02567582859755,14.0519775904014
"LOC100242666",552.238771735595,674.467349475859,712.604262614894,835.088953943856
"LOC100240750",1062.30658272047,1410.15866966307,1882.88112206414,1586.86975503033
"LOC100247619",1622.57791840858,1957.1597194612,2126.77244011403,1971.29171339631
"LOC100264953",2317.39470030137,1730.3299263339,1603.86142487127,1641.07024002188
"LOC100259756",483.961978139194,389.424600590228,415.518541862769,457.692984373075
"LOC100254425",12616.1457579232,7444.23263550959,6075.20225578585,7161.49000767958
"LOC100259596",1742.06230720228,1817.6493599714,1919.01316918265,1540.69897151901
"LOC100249314",23977.2033982655,39466.3766608478,42017.5561269154,41227.4985375527
"LOC100249372",214.87108572985,209.7673750602,158.579540131202,230.853917556595
"LOC100244206",697.828993374978,412.50904856336,343.254447625766,382.414532995924
"LOC100244156",3916.87899734646,2325.50721538031,2345.57205877607,1951.21745969574
"LOC104879253",809.280818216162,489.791765690802,431.577229470992,477.767238073648
"LOC100261343",405.644479602146,379.387884080171,208.762938906899,286.058115233172
"LOC100266502",164.667561026614,398.45764544928,155.56853620466,356.318003185179
"LOC100256251",2746.132801267,1995.29924219942,1995.2919353217,1865.9018814683
"LOC100261298",102.415190394601,174.638867274999,145.531856449521,157.582891549502
