ID,A1_A,A1_B,AF_A,AF_B
LOC100256814,18.34999752,7.44376194,12.37051254,15.73958073
LOC100261911,76.02141831,173.0674651,137.0272158,137.2841208
LOC100249919,40.63213737,52.10633358,19.98313564,62.08390176
LOC100244775,580.6463502,712.7402058,692.7487021,802.7186171
LOC100255065,2395.985391,1489.682858,1952.637825,1385.957525
LOC100255052,804.7784628,632.7197649,445.3384513,550.0109043
LOC100265355,834.9248873,804.8567598,1005.817827,654.0670214
LOC100248178,56.36070668,198.1901617,65.65887424,137.2841208
LOC100253313,1118.039135,1761.380169,1522.52462,1984.061593
LOC100258450,57.67142078,40.01022043,39.01469339,51.59084794
LOC100260158,62346.73801,44357.3774,31640.91634,36628.62762
LOC100263593,1136.389132,1007.699273,1079.089324,1177.845291
LOC100256916,900.4605927,640.1635269,628.0414057,616.4669119
LOC100265365,11681.08414,12170.55077,12552.26391,10948.62724
LOC100262011,1274.014114,844.8669802,1012.478872,786.1046153
LOC100243071,264.76425,223.3128582,169.380864,158.2702284
LOC100248185,17.03928341,11.16564291,13.32209042,11.36747497
LOC104879728,3654.270935,4102.443299,6205.239404,3622.726831
LOC100260241,7058.195476,5535.367473,5442.073938,5027.921622
LOC100263601,671.0856237,966.758582,917.3210835,904.1514707
LOC100241338,1892.671173,929.5397723,1413.093163,799.2209325
LOC100263686,169.08212,163.7627627,143.688261,192.3726533
LOC100251684,91.74998761,109.7954886,104.6735676,136.4096996
LOC100264317,3803.692344,3782.361536,3144.01334,3834.33675
LOC100254024,1095.756995,1183.558149,1268.453324,1197.082557
LOC100248804,190.0535458,163.7627627,118.9472359,187.1261264
LOC100264433,150.7321225,157.249471,144.6398389,233.4704475
LOC100259152,2561.135368,2345.715481,2827.137904,2212.285513
LOC100264328,769.3891818,618.7627113,768.8749331,583.2389081
LOC100242045,3126.053149,2653.701132,2579.727653,2616.268086
LOC100250632,1179.642698,753.6808965,684.1845011,726.643977
LOC100247184,1315.956965,1575.286121,1670.019193,1572.209231
LOC100243771,737.9320432,781.5950037,730.8118176,661.9368117
LOC100252303,1541.399792,1271.952822,1220.87443,1363.222575
LOC109123039,53.73927846,55.82821455,52.33678381,41.09779412
LOC100255708,1026.289147,1292.423167,1541.556178,1023.072747
LOC100257438,2431.374672,3091.022146,2477.908819,2834.873373
LOC100262561,132.382125,247.5050845,184.6061102,304.2985607
