ID,F1_A,F1_B,AF1_A,AF1_B
LOC100855330,388.7599494,394.5203925,72.80345799,134.0216401
LOC100245304,231.9211716,148.8190848,595.8804768,805.6107426
LOC100232904,93.43586768,89.89072233,3029.256926,6848.431763
LOC100267606,36291.4921,38395.32387,18291.86882,13294.05815
LOC100257335,4107.841182,3830.343557,2078.06392,1589.007954
LOC104879789,155.1702802,114.8603674,15.82683869,14.06856995
LOC100252208,1164.611351,1063.706881,5694.496562,6755.134931
LOC100245280,48.38643147,51.93686179,79.9255354,118.472168
LOC100246855,29445.6463,24734.93043,20484.67732,21342.02062
LOC100241730,4711.837327,5232.638826,3974.119196,4245.746322
LOC100262427,825.9063303,986.8003741,940.1142184,756.0005222
LOC100257315,141.8222991,107.8688668,111.5792128,105.1440491
LOC100264013,1576.730267,1840.762236,2178.564346,2485.694175
LOC100247060,368.7379778,382.5349628,395.6709673,450.9346895
LOC100241925,1545.028812,1350.358407,847.527212,792.2826237
LOC100264209,18.35347401,9.987858037,17.40952256,36.28210146
LOC100248567,193.5457259,218.734091,659.9791735,930.006519
LOC100258843,1957.147728,2124.417404,1733.830179,1862.234391
LOC100243435,1283.074683,1513.160493,869.6847862,870.0299839
LOC100265757,447.1573667,587.2860526,522.2856769,419.8357454
LOC100253694,2177.389416,2325.173351,1456.860502,1688.228394
LOC100248594,620.681121,828.9922171,458.1869802,363.5614656
LOC100243459,6.673990548,6.991500626,874.4328378,1429.810978
LOC100265777,415.4559116,275.6648818,1241.615496,1969.599793
LOC100260563,1646.807168,1474.207846,1425.998166,687.8790256
LOC100245167,447.1573667,268.6733812,621.2034187,885.579456
LOC104879790,53.39192439,55.93200501,16.61818063,6.664059451
LOC100262313,4139.542638,2639.790879,2893.937455,200.6622346
LOC100257206,1142.920881,773.0602121,235.8198965,76.26645817
LOC100854991,108.4523464,89.89072233,91.00432249,128.8384827
LOC100255493,3517.193019,3896.26342,2876.527933,3218.740715
LOC100241817,23.35896692,11.98542964,37.19307093,33.32029726
LOC100264096,513.8972722,626.2386989,872.850154,935.1896763
LOC104879791,21.69046928,23.97085929,91.79566442,111.8081086
LOC100245192,100.1098582,77.90529269,319.7021416,476.1100252
LOC100248684,1464.940925,1578.08157,1504.341018,1506.077436
LOC100243543,18.35347401,30.96235991,127.4060515,236.203885
LOC100267493,1573.393272,1477.204204,1606.424127,1627.511408
LOC100262334,447.1573667,430.4766814,1338.950553,1816.326426
LOC100257226,575.6316848,420.4888234,1037.449276,1126.966498
LOC104879793,413.787414,340.5859591,441.5687996,356.1569551
MYB12,110.120844,27.9660025,218.410374,171.0441926
LOC100252105,1725.226557,1819.787734,1835.913288,2326.4972
LOC100246965,2474.381996,1932.65053,1041.405986,937.4110295
LOC100267577,425.4668974,420.4888234,2218.131443,2954.39969
LOC100241835,3822.528086,3117.210493,3966.997119,2792.981361
LOC100257310,166.8497637,198.7583749,171.7211998,270.2646333
LOC100264117,175.1922519,276.6636676,746.2354444,1351.323167
LOC100252178,3.336995274,0.0,44.31514834,56.27427981
LOC100253802,4119.520666,2444.028862,9212.011462,8966.862217
LOC100248702,3615.634379,3281.011365,1964.110682,1783.006129
LOC100243565,1079.517971,880.9290789,685.3021154,686.3981235
LOC100265889,510.5602769,499.3929019,343.4423997,305.8062837
LOC100260678,572.2946895,594.2775532,644.9436768,783.3972111
LOC100255608,1046.148018,1026.751806,936.9488507,952.9605015
LOC100264203,987.7506011,793.0359281,1493.262231,1723.029594
LOC100250421,702.4375052,613.2544835,466.1003995,624.9406863
LOC100245295,2379.27763,2252.261987,1876.271727,1530.512321
LOC100248563,794.2048752,1025.75302,963.8544764,713.7948123
LOC100267599,280.307603,224.7268058,430.4900125,952.9605015
LOC100262446,2517.762934,3112.216564,2875.736591,2698.944078
LOC100257331,4549.993056,3610.61068,1608.798153,1713.40373
LOC100243431,5829.730744,6697.8576,3132.922719,2558.258378
LOC100252201,909.3312122,857.9570054,888.6769926,878.9153965
LOC100260535,276.9706078,179.7814447,270.6389417,331.7220705
LOC100255466,395.43394,498.394116,734.3653154,619.757529
LOC100262306,2270.825284,2337.158781,792.9246186,762.6645817
LOC100246849,8707.889168,7586.776965,5459.468007,5380.11733
LOC100246939,3091.726121,4017.116503,2112.882966,1310.598359
LOC100252076,130.1428157,144.8239415,49.85454189,25.91578676
LOC100264089,2954.909315,2834.554111,1503.549676,1759.311695
LOC100241725,7486.548897,8308.899101,5184.081014,4125.0528
LOC100253777,115.126337,160.8045144,99.70908377,101.4417939
LOC100243538,201.8882141,277.6624534,284.8830965,300.6231264
LOC100260653,3060.024666,3512.729672,3132.922719,3098.047194
LOC100255579,4771.903242,4945.9873,3707.436964,3232.809285
LOC100250396,6897.569232,3616.603395,2687.39721,2036.240388
LOC100245269,2924.876358,2434.041004,743.8614186,187.3341157
LOC104879798,395.43394,379.5386054,361.6432641,285.8141054
MIR403F,15.01647873,16.97935866,31.65367739,14.809021
LOC100264006,3113.416591,2884.493401,1330.245792,1171.393561
LOC100262417,989.4190988,1282.440972,1187.012902,1032.929215
LOC100258835,2961.583306,2757.647604,1725.91676,1585.305698
LOC104879799,76.7508913,64.92107724,59.3506451,55.53382876
LOC100264200,687.4210265,561.3176217,2104.178204,1982.927912
LOC100253689,15513.69103,13519.56464,6659.933722,5289.041851
LOC104879800,65.07140785,43.94657536,88.63029668,86.63277287
LOC100248587,665.7305572,736.1051373,1316.792979,1244.698215
LOC100243428,4434.866719,4240.844523,4073.036938,3790.368926
LOC100265749,1056.159004,920.880511,574.5142446,622.7193332
LOC100243451,373.7434707,405.5070363,264.3082062,276.1882417
LOC104879801,23.35896692,14.98178706,38.7757548,14.809021
LOC100265771,647.3770832,603.2666254,676.5973542,795.9848789
LOC104879803,235.2581668,326.6029578,725.6605541,1097.348456
LOC100260647,88.43037476,129.8421545,326.824219,402.0649202
LOC100260558,548.9357226,556.3236927,572.9315607,559.7809939
LOC100255485,52005.40285,44679.68414,16377.61268,2213.94864
LOC100250305,24490.20832,18920.99827,4913.442072,724.161127
LOC100245186,485.5328124,375.5434622,586.3843736,507.2089694
LOC100267487,6892.563739,5907.818029,5503.783156,7514.837708
LOC100262411,403.7764282,339.5871733,565.0181414,815.9770573
