"","CO_A","CO_B","A1_A","A1_B"
"LOC104878081",18.8920069586804,37.7507380055453,99.3628471424985,146.211596146225
"LOC100259561",1364.20176564787,1096.75828310847,696.533558468915,2862.56444699889
"LOC100249330",0,2.98032142149042,2.98088541427496,33.8176480882426
"LOC100251093",5362.34702779808,4941.37291683111,3275.99307028818,3729.88765679147
"LOC100240861",2397.29625144097,2440.88324420065,4845.92605513965,4797.13284498806
"LOC100266517",1317.46890632903,953.702854876933,2854.69459840398,4053.14458704673
"LOC100853223",5.96589693432013,1.98688094766028,29.8088541427496,22.8766442949877
"LOC100257988",47.7271754745611,11.9212856859617,2329.06513702017,2498.52741169604
"LOC100256253",215.766605791245,188.753690027726,362.67439207012,585.84102129338
"LOC100245954",2318.74527513909,1776.27156720829,2376.75930364856,2015.13397137587
"LOC100256221",2.98294846716007,4.96720236915069,12.9171701285248,30.8337379628095
"LOC104878338",41.7612785402409,45.6982617961864,134.139843642373,92.5012138884284
"LOC104878340",82.5282409247618,83.4489998017317,29.8088541427496,63.6567493425744
"LOC100258818",2467.89269849709,1772.29780531297,2398.61913001991,2986.89403555861
"LOC100264206",8553.10757150363,10507.6198917014,5918.05117580721,6036.45018375131
"LOC100265497",1991.6152599072,1874.62217411747,1192.35416570998,1381.55038807556
"LOC100265755",2118.88772783937,2719.04657687309,2715.58661240448,3823.38350738837
"LOC100259020",70.5964470561216,51.6589046391672,147.057013770898,328.230113797649
"LOC104878215",91.477086326242,28.809773741074,3.97451388569994,66.6406594680075
"LOC100251720",2464.90975002993,1714.67825783082,903.208280525312,2297.61079658354
"LOC100263718",166.050798005244,112.258773542806,148.050642242323,208.873708780322
"LOC109121492",28.8351685158806,30.7966546887343,15.8980555427998,23.8712810034654
"LOC104878216",770.595020683017,801.706462380922,248.407117856246,434.656241604766
"LOC100246579",1302.55416399323,1193.12200907,1884.9132102932,1762.49624742253
"LOC100265491",237.641561217085,157.957035338992,260.330659513346,299.385649251795
"MLO5",808.379034600378,1099.73860452996,548.482916226592,599.765935212068
"LOC100248340",3091.32892813355,3963.82749058225,3240.22244531688,2504.49523194691
"LOC100265526",731.816690609936,1155.37127106445,682.622759868965,426.699147936944
"LOC100257866",54.6873885646012,29.8032142149042,21.8598263713497,52.7157455493194
"LOC100256349",1383.09377260655,1074.90259268421,976.73678741076,1298.00090456343
"LOC100252716",754.685962191497,639.775665146609,1170.49433933863,989.663524935336
"LOC100259312",5.96589693432013,11.9212856859617,81.4775346568488,134.275955644493
"LOC100268008",7638.33670824121,9302.57659694542,13181.4753019239,5946.93287998831
"LOC100264484",2627.97759956802,2685.26960076287,1516.27704739453,1964.40749924351
"LOC100262707",382.811719952209,393.402427636735,232.509062313447,151.184779688614
"LOC109122021",110.369093284922,138.088225862389,87.4393054853987,69.6245695934407
"LOC100245691",522.015981753012,641.76254609427,985.679443653585,454.54897577432
"LOC100247267",992.327523408582,961.650378667574,1109.88300258171,704.202789602229
"LOC100854028",456.39111547549,404.330272848867,341.808194170195,408.795687184345
"LOC100263856",40.7669623845209,38.7441784793754,29.8088541427496,33.8176480882426
"LOC100267364",127.272467932163,107.291571173655,236.483576199146,153.17405310557
"LOC100257087",3623.28807144376,3744.27714586579,3646.6164901297,3135.09490512179
"LOC100243976",4.97158077860011,8.94096426447125,12.9171701285248,13.9249139186881
"LOC100243424",187.925753431084,375.520499107792,318.95473932742,282.476825207674
"LOC104878196",2.98294846716007,6.95408331681097,14.9044270713748,27.8498278373763
"LOC100266824",30.8238008273207,18.8753690027726,29.8088541427496,31.8283746712872
"LOC100853075",458.37974778693,338.763201576077,529.603975269517,784.768362988924
"LOC100256534",1088.77619051342,1152.39094964296,286.164999770396,899.151584463863
"LOC100253556",73.5793955232816,39.7376189532056,45.7069096855493,63.6567493425744
"LOC100248447",5536.35235504908,5237.41817803249,4640.24496155468,6373.63202792526
"LOC100252003",1220.02592306847,1293.45949692684,739.259582740189,879.258850294308
"LOC109122149",7.95452924576018,30.7966546887343,35.7706249712995,9.94636708477724
"LOC104878398",194.885966521124,267.235487460307,139.107985999498,154.168689814047
"LOC100257129",18969.5636188266,25942.7045336002,11045.1740883601,9966.2598189468
"LOC100262463",73.5793955232816,88.4162021708824,743.234096625889,409.790323892822
"LOC100258853",189.914385742524,159.943916286652,276.228715056146,389.897589723268
"LOC104878210",77.5566601461617,31.7900951625644,19.8725694284997,79.5709366782179
"LOC109121425",25.8522200487206,16.8884880551124,0,19.8927341695545
"LOC109121436",289.346001314526,322.868153994795,343.795451113045,283.471461916151
"LOC109122046",13.9204261800803,7.94752379064111,4.96814235712493,18.8980974610768
"LOC100261774",236.647245061365,90.4030831185426,86.4456770139737,272.530458122896
"LOC100244779",138.209945645083,101.330928330674,718.393384840264,378.956585930013
"LOC100246461",1472.58222662135,1632.22269850292,1691.15565836532,1472.06232854703
"LOC100246843",15801.6723467026,21357.9767468742,28310.4624078407,18963.7434838363
"LOC104878144",524.998930220172,732.165629212812,357.706249712995,280.487551790718
"LOC100255380",1935.93355518688,2049.46769751158,601.145225212116,820.575284494123
"LOC100855145",1582.95131990628,1456.38373463498,353.731735827295,512.237904866028
