"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4016","LOC100264536",986.361626474262,1024.23712851887,2332.04602243444,1851.01891447704,1548.41592297616,-1.05693558222535,0.265075853634101,-3.98729483555411,6.68309534459083e-05,0.000377797177971965
"4017","LOC100264539",484.231967835651,383.468022898434,4116.60275711371,3023.69559377228,2001.99958540502,-3.04072027872032,0.289927844772715,-10.4878518346661,9.82364262735081e-26,5.7767601106025e-24
"4018","LOC100264543",5863.48237028097,8329.00493259188,2216.78511974914,1909.70248027723,4579.74372572481,1.78214124636545,0.278201090497286,6.40594630013802,1.4943955932494e-10,2.3132739152602e-09
"4019","LOC100264548",13.9204261800803,11.9212856859617,172.891354027947,146.211596146225,86.2361655100537,-3.62626904272377,0.572143345818725,-6.3380428510178,2.32702117031505e-10,3.50530373452238e-09
"4020","LOC100264554",1940.90513596548,2152.78550678991,816.762603511338,884.232033836697,1448.67132002586,1.26702533336152,0.253632953927545,4.99550753851753,5.86812314450861e-07,5.18668027277558e-06
"4021","LOC100264556",65.6248662775215,29.8032142149042,6025.36305072111,5292.46192580997,2853.31326425588,-6.89003510423731,0.357389288590565,-19.2787957675215,8.09389224320341e-83,6.53015226181651e-80
"4022","LOC100264564",1766.89980871448,2140.86422110395,856.507742368337,905.119404714729,1417.34779422537,1.14943663589614,0.262191108638401,4.38396497068625,1.16538520553575e-05,7.89050674577243e-05
"4023","LOC100264572",9603.10543194397,10334.7612492549,78739.0945896015,35175.3271953147,33463.0721165288,-2.51436610446823,0.364797667585845,-6.89249501266767,5.48222147453545e-12,1.00983020220438e-10
"4024","LOC100264583",416.618469246689,353.664808683529,1675.25760282253,2576.10907495731,1255.41248892751,-2.46446611667231,0.313560853330196,-7.85961031327179,3.85330341867504e-15,9.87562007047974e-14
"4025","LOC100264586",631.390758882214,689.447688838116,1707.05371390812,1033.42754010836,1015.3299254342,-1.05297633546722,0.326410455777995,-3.22592710137753,0.00125565334374114,0.00495142286280721
"4026","LOC100264594",1332.38364866483,1112.65333068976,2955.05107401791,3366.8452581971,2191.7333278924,-1.37050159696488,0.257014549944636,-5.33238914785214,9.69289406527258e-08,9.85908589493434e-07
"4027","LOC100264597",1489.48560126859,1200.07609238681,337.833680284495,397.85468339109,856.312514332746,1.87020725405544,0.288479935232366,6.48297169281122,8.99333765690246e-11,1.43964778206129e-09
"4028","LOC100264610",28.8351685158806,25.8294523195836,77.5030207711489,103.442217681683,58.9024648220741,-1.72687175981633,0.607922603433584,-2.840611206201,0.00450271707504487,0.0148349891217993
"4029","LOC100264612",341.050441411968,306.973106413513,652.813905726215,717.133066812439,504.492630091034,-1.08000259768128,0.295295297228552,-3.6573647051527,0.00025482168566671,0.00123433078767952
"4030","LOC100264614",138.209945645083,63.5801903251289,359.693506655845,619.658669381622,295.28557800192,-2.27898763963012,0.472467276477303,-4.82358832684066,1.40998284501794e-06,1.15560154343811e-05
"4031","LOC100264626",750.708697568617,993.440473830139,10760.0027170612,5642.57404719413,4536.68148391351,-3.23332472383834,0.348500607617814,-9.27781660393602,1.7298694430496e-20,6.97829333326209e-19
"4032","LOC100264634",1155.39537294667,1058.0141046291,2001.16774144992,2694.47084326616,1727.26201557296,-1.08504991857081,0.275638207195379,-3.93650042064634,8.26784754448831e-05,0.0004553504188114
"4033","LOC100264651",44.744227007401,20.8622499504329,296.101284484646,348.122847967203,177.457652352421,-3.2957052156374,0.481202879551471,-6.84888922258595,7.44255992759117e-12,1.34272302092588e-10
"4034","LOC100264653",3895.73069811105,3812.82453856007,8766.78400338265,8504.14385748454,6244.87077438458,-1.16381291945776,0.227824409763849,-5.10837675674923,3.24938240305346e-07,3.00892047190499e-06
"4035","LOC100264659",3025.70406185603,3178.01607578261,1274.82532883826,1373.59329440774,2213.03469022116,1.22800356251252,0.241588048890315,5.08304764309783,3.71426488240232e-07,3.39604363907773e-06
"4036","LOC100264660",970.452567982742,1134.50902111402,578.291770369341,468.473889693008,787.931812289777,1.00785327840718,0.288216068118626,3.49686707263093,0.00047075634147716,0.00210162802292924
"4037","LOC100264662",839.202835427699,419.231879956319,6324.44522062003,7563.21753126461,3786.52436681717,-3.46410581916322,0.349639294046439,-9.90765591324846,3.85586420555197e-23,1.90065797041798e-21
"4038","LOC100264668",13.9204261800803,14.9016071074521,61.6049652283491,72.6084797188739,40.7588695586888,-2.21927314008046,0.715613766609782,-3.10121638742958,0.00192727395840395,0.007190735431189
"4039","LOC100264674",253.550619708606,135.107904440899,575.310884955066,492.345170696474,364.078644950261,-1.45788536778998,0.394826406505499,-3.69247178954752,0.000222084982350261,0.00109228336844788
"4040","LOC100264675",387.783300730809,559.306986766368,82.4711631282738,92.5012138884284,280.51566612847,2.43638521967029,0.377742152367879,6.44986323183103,1.1195113458957e-10,1.75860933385641e-09
"4041","LOC100264681",6596.29337704663,7528.29191068479,2807.99406024701,2848.6395330802,4945.30472026466,1.32019341720255,0.236471118526958,5.5828949658901,2.3654761557037e-08,2.67292179610889e-07
"4042","LOC100264694",385.794668419369,387.441784793754,193.757551927872,189.975611319245,289.24240411506,1.01080588968895,0.330675470984656,3.0567912602621,0.00223720011877636,0.00816286656941376
