ID,CO_A,CO_B,AF_A,AF_B
LOC100241191,126.0450845,140.4233254,161.7215228,138.0532367
LOC104881564,65.31427106,43.73841283,91.1358858,112.2722106
LOC100263546,6.875186428,4.604043456,19.65675968,8.316460041
LOC100246408,29.79247452,12.6611195,10.72186892,4.158230021
LOC100256677,624.4961005,591.619584,394.0286827,459.0685943
LOC100265283,615.3291853,707.8716813,900.6369891,1259.943696
LOC100249788,294.487152,247.4673357,148.3191867,164.6659088
LOC100232958,4614.395957,5334.935354,5016.047676,4480.077024
LOC100254923,25.2090169,40.28538024,14.29582522,9.148106045
LOC100248112,1149.301998,1337.474624,516.4366862,532.2534426
LOC104881565,104.2736608,210.6349881,176.9108371,321.0153576
LOC100263470,2085.473216,1971.68161,2362.385118,2311.144245
LOC100256597,21.77142369,32.22830419,33.95258491,19.12785809
LOC100253235,192.50522,196.8228577,367.2240104,525.6002746
LOC100258368,206.2555928,120.8561407,268.940212,301.0558535
LOC100263511,1203.157625,1302.944298,1075.760848,1778.890803
LOC100241243,6388.194056,6008.27671,7712.597708,9998.048262
LOC100242848,231.4646097,157.6884884,252.8574087,312.6988975
LOC104881566,97.39847439,85.17480393,99.17728749,59.8785123
LOC100241286,998.0478964,900.0904956,746.0633789,813.349792
LOC100246414,112.2947117,101.288956,137.5973178,161.3393248
LOC100246370,851.3772526,750.4590833,1593.091023,1975.990906
LOC100256683,176.4631183,112.7990647,145.6387195,120.5886706
LOC100261782,572.9322023,364.8704439,584.341856,679.4547854
LOC100251510,9164.623508,9587.920496,10240.27831,10494.54093
LOC100256638,73.3353219,23.02021728,6348.239889,9939.833041
LOC100261743,2981.539181,3220.528397,5698.67333,10323.22185
LOC100253195,6227.773039,6062.37422,4696.178586,4553.261873
LOC100258332,195.9428132,24.17122814,182.2717716,130.5684226
LOC100266928,572.9322023,239.4102597,1291.985205,762.6193858
LOC100241202,741.3742698,697.5125835,895.2760547,834.1409421
LOC100244610,4368.03511,5509.889006,3921.523557,4627.278367
LOC100249716,45.83457619,26.47324987,9.828379842,4.989876025
LOC100254839,506.4720668,512.1998344,629.0163099,678.6231394
LOC100259949,1119.509523,1422.649428,880.9802294,765.1143238
LOC104881570,0.0,0.0,6.254423536,46.57217623
LOC100855078,334.5924062,258.9774444,402.9635735,428.2976921
LOC100263559,1868.904844,1827.805252,1706.564136,1614.224894
LOC100241294,106.5653896,66.75863011,21.44373784,58.21522029
LOC100249757,11237.49222,11063.51642,9049.257367,9146.442753
LOC100854949,98.5443388,172.6516296,61.65074628,58.21522029
LOC100254885,307.0916604,302.7158572,323.4430457,331.8267556
LOC100259987,11601.8771,11815.12652,9284.244994,11020.1412
LOC100265192,5531.087481,5338.388387,4619.338526,4444.316246
LOC100242900,42.39698297,39.13436937,35.73956306,74.01649437
LOC100256693,143.2330506,124.3091733,124.1949816,103.1241045
LOC100248029,6489.030123,7647.31618,4218.16193,3912.894449
LOC100265236,32.08420333,31.07729333,218.0113347,417.4862941
LOC100242947,1051.903523,1322.511483,1034.660351,757.6295098
LOC100248073,715.0193885,840.2379306,1032.873372,1412.134915
LOC100253163,1226.074913,921.959702,1042.701752,876.5548883
LOC104881608,20.62555928,57.5505432,21.44373784,14.96962807
LOC100232990,2049.95142,2183.467609,5684.377505,7260.269616
LOC100258292,3152.272977,2549.489064,4345.037379,6226.533633
LOC100251473,458.3457619,254.3734009,404.7505517,470.7116383
LOC104881610,77.91877952,43.73841283,90.24239673,185.4570589
LOC100241160,5142.639448,6126.830829,3460.483193,4594.844173
